	test_acc	train_acc
0	35.95	26.092
1	40.64	40.096
2	51.9	47.714
3	56.7	54.526
4	64.7	60.712
5	64.82	65.098
6	68.14	69.842
7	70.84	73.712
8	74.36	76.366
9	75.02	78.316
10	78.92	80.438
11	81.55	81.642
12	79.25	82.67
13	82.83	84.01
14	81.29	84.68
15	80.4	85.524
16	83.07	86.078
17	83.05	86.892
18	85.17	87.318
19	85.86	88.004
20	85.38	88.544
21	86.75	89.032
22	86.82	89.526
23	85.7	89.892
24	86.44	90.368
25	87.11	90.568
26	86.13	91.042
27	86.92	91.304
28	86.44	91.628
29	86.22	91.988
30	87.36	92.332
31	87.2	92.346
32	87.99	92.704
33	88.36	92.902
34	89.01	93.014
35	88.37	93.37
36	88.24	93.594
37	87.26	93.664
38	88.18	93.958
39	88.57	93.96
40	87.74	94.336
41	87.45	94.54
42	87.94	94.526
43	88.94	94.758
44	88.35	95.04
45	88.42	95.132
46	88.61	95.266
47	88.53	95.114
48	88.77	95.482
49	88.91	95.464
50	89.01	95.622
51	88.53	95.664
52	88.16	95.792
53	89.2	95.972
54	89.81	96.0
55	89.23	96.01
56	89.51	96.254
57	89.71	96.16
58	89.64	96.452
59	89.08	96.292
60	88.93	96.254
61	89.22	96.406
62	89.69	96.592
63	90.17	96.53
64	89.75	96.768
65	89.58	96.81
66	88.67	96.826
67	89.08	96.936
68	89.02	96.938
69	89.23	97.052
70	88.89	97.222
71	89.41	97.106
72	89.11	97.078
73	90.02	97.22
74	89.9	97.264
75	89.88	97.346
76	89.73	97.256
77	88.94	97.372
78	89.37	97.552
79	89.82	97.44
80	90.07	97.25
81	89.63	97.604
82	89.56	97.752
83	89.81	97.71
84	90.1	97.708
85	90.27	97.692
86	90.36	97.598
87	89.2	97.788
88	89.76	97.738
89	90.4	97.75
90	89.51	97.858
91	90.11	97.85
92	89.77	97.906
93	89.05	98.068
94	90.17	97.89
95	89.79	97.982
96	89.83	97.946
97	90.43	98.026
98	90.15	98.048
99	89.92	98.07
100	88.01	98.064
101	89.59	98.022
102	89.39	98.052
103	89.55	98.122
104	90.2	98.188
105	89.95	98.192
106	89.77	98.09
107	90.13	98.266
108	89.74	98.25
109	90.3	98.28
110	90.47	98.282
111	90.19	98.318
112	90.09	98.188
113	90.25	98.302
114	90.63	98.258
115	89.65	98.424
116	89.21	98.314
117	89.77	98.388
118	89.82	98.434
119	90.6	98.4
120	90.58	98.254
121	90.27	98.572
122	90.05	98.588
123	90.7	98.616
124	89.6	98.444
125	89.66	98.518
126	89.19	98.328
127	89.35	98.472
128	90.52	98.598
129	89.79	98.508
130	90.0	98.484
131	89.66	98.632
132	90.19	98.648
133	90.09	98.686
134	90.18	98.594
135	89.81	98.696
136	90.7	98.542
137	90.25	98.626
138	89.98	98.586
139	90.39	98.602
140	90.22	98.532
141	90.36	98.816
142	90.75	98.688
143	91.11	98.684
144	90.29	98.688
145	89.95	98.692
146	90.57	98.8
147	90.46	98.712
148	90.22	98.752
149	90.13	98.712
150	90.95	98.774
151	90.43	98.89
152	90.73	98.836
153	90.45	98.72
154	90.79	98.772
155	91.11	98.834
156	90.48	98.722
157	90.0	98.784
158	90.26	98.962
159	90.73	98.766
160	90.31	98.854
161	90.67	98.836
162	90.97	98.748
163	90.73	98.904
164	90.9	98.84
165	90.65	98.882
166	90.35	98.84
167	90.39	98.924
168	90.11	98.88
169	90.72	98.876
170	90.26	98.94
171	90.78	98.972
172	90.55	98.974
173	90.73	98.936
174	90.61	98.878
175	91.1	98.944
176	90.82	98.952
177	90.6	98.86
178	90.55	99.046
179	90.46	98.974
180	91.08	98.962
181	90.64	99.072
182	90.41	98.936
183	90.15	98.922
184	90.73	98.946
185	91.11	99.068
186	90.4	98.998
187	90.59	99.088
188	90.42	99.082
189	91.1	98.958
190	90.71	99.06
191	91.05	99.088
192	90.85	98.942
193	91.14	99.156
194	91.0	99.134
195	90.62	99.152
196	90.58	98.9
197	90.56	99.118
198	90.54	99.068
199	90.77	99.13
