epoch	test_acc	train_acc
0	54.07	43.254
1	64.43	64.48
2	57.59	73.4
3	73.6	78.276
4	77.78	81.228
5	70.91	83.268
6	79.34	85.046
7	78.14	86.152
8	84.58	87.148
9	85.6	88.184
10	85.66	89.176
11	84.88	89.8
12	85.31	90.212
13	84.05	91.03
14	84.84	91.612
15	85.43	91.984
16	85.95	92.466
17	86.7	92.922
18	87.3	93.354
19	88.71	93.668
20	86.93	93.986
21	87.71	94.512
22	88.77	94.8
23	87.74	94.888
24	87.13	95.418
25	87.77	95.452
26	89.05	95.798
27	89.69	96.016
28	89.17	96.254
29	88.81	96.27
30	88.49	96.622
31	89.77	96.716
32	90.29	96.87
33	89.71	97.13
34	89.55	97.182
35	90.01	97.434
36	88.21	97.516
37	90.58	97.6
38	91.06	97.936
39	90.65	97.634
40	87.17	97.936
41	90.17	97.988
42	90.84	98.158
43	90.02	98.242
44	91.29	98.33
45	89.75	98.418
46	90.67	98.57
47	90.16	98.314
48	90.09	98.47
49	89.31	98.53
50	90.54	98.764
51	90.82	98.756
52	91.2	98.748
53	89.97	98.782
54	90.72	98.856
55	91.53	98.998
56	90.93	98.866
57	90.94	98.996
58	90.87	98.95
59	89.45	99.018
60	90.78	99.016
61	92.19	99.148
62	90.52	99.158
63	91.31	99.184
64	90.82	99.17
65	91.5	99.188
66	91.57	99.394
67	91.58	99.258
68	91.74	99.306
69	91.05	99.364
70	92.02	99.426
71	91.92	99.356
72	91.62	99.338
73	91.55	99.436
74	89.16	99.36
75	91.26	99.514
76	91.52	99.524
77	91.58	99.476
78	91.9	99.486
79	91.99	99.51
80	92.07	99.48
81	90.54	99.49
82	91.53	99.462
83	92.16	99.508
84	90.69	99.49
85	91.73	99.408
86	91.67	99.582
87	91.52	99.6
88	91.4	99.634
89	91.57	99.562
90	91.82	99.476
91	92.07	99.644
92	91.95	99.578
93	92.22	99.648
94	92.54	99.654
95	90.77	99.576
96	92.12	99.55
97	92.32	99.638
98	91.79	99.656
99	92.06	99.732
100	92.21	99.578
101	92.15	99.736
102	92.63	99.856
103	92.43	99.77
104	92.43	99.74
105	92.03	99.648
106	92.14	99.654
107	92.21	99.728
108	92.82	99.714
109	92.57	99.714
110	92.31	99.554
111	91.71	99.682
112	91.89	99.664
113	92.06	99.63
114	92.5	99.762
115	92.32	99.706
116	91.67	99.672
117	92.26	99.74
118	92.42	99.752
119	92.5	99.73
120	92.52	99.746
121	91.89	99.772
122	92.44	99.794
123	92.06	99.782
124	92.52	99.8
125	91.63	99.764
126	92.54	99.752
127	92.69	99.792
128	92.25	99.794
129	92.47	99.728
130	92.62	99.762
131	92.26	99.832
132	92.77	99.884
133	92.58	99.888
134	92.43	99.886
135	92.32	99.858
136	91.86	99.802
137	92.43	99.754
138	92.06	99.83
139	92.24	99.704
140	91.6	99.782
141	92.12	99.82
142	91.83	99.768
143	92.37	99.886
144	92.45	99.81
145	92.68	99.82
146	92.96	99.886
147	92.48	99.846
148	92.37	99.87
149	92.92	99.862
150	92.49	99.886
151	92.85	99.872
152	92.3	99.844
153	92.36	99.908
154	92.5	99.784
155	91.98	99.872
156	92.31	99.818
157	92.28	99.884
158	92.37	99.842
159	92.3	99.808
160	92.29	99.83
161	92.21	99.858
162	92.25	99.846
163	92.48	99.846
164	92.04	99.894
165	92.51	99.914
166	92.28	99.854
167	92.32	99.908
168	92.26	99.828
169	92.47	99.882
170	92.06	99.852
171	92.32	99.828
172	92.3	99.88
173	92.2	99.814
174	91.9	99.904
175	92.01	99.878
176	92.62	99.864
177	92.58	99.864
178	92.53	99.906
179	92.73	99.892
180	92.51	99.904
181	92.36	99.896
182	92.44	99.866
183	92.62	99.886
184	92.73	99.92
185	90.52	99.896
186	92.51	99.89
187	92.6	99.886
188	92.81	99.912
189	92.58	99.908
190	92.53	99.874
191	92.72	99.918
192	92.75	99.91
193	92.71	99.92
194	92.49	99.904
195	92.29	99.862
196	92.47	99.9
197	92.74	99.912
198	92.59	99.918
199	92.55	99.95
