test_acc	train_acc
36.51	27.482
51.74	44.154
57.25	54.264
65.46	61.448
68.95	66.582
72.38	70.626
75.32	73.17
75.81	75.13
76.48	76.818
77.45	77.688
76.81	78.754
77.8	79.906
78.15	80.766
80.34	80.778
81.77	81.204
80.11	81.812
81.98	82.174
80.42	82.564
81.56	82.94
81.48	82.952
83.5	83.332
82.54	83.738
82.5	83.688
83.95	84.17
79.97	84.448
82.75	84.4
83.0	84.62
84.51	84.64
80.81	85.07
83.29	85.124
83.47	85.052
83.63	85.194
83.69	85.23
84.66	85.086
85.34	85.496
81.24	85.434
83.63	85.798
85.84	85.738
84.39	85.76
83.19	85.746
84.25	85.788
84.02	85.568
84.48	85.902
85.82	85.866
84.91	85.928
86.06	86.138
83.77	86.084
83.64	86.114
83.62	86.592
82.97	86.248
84.8	86.306
84.79	86.734
85.95	86.442
85.08	86.688
84.86	86.466
82.19	86.592
84.49	86.716
85.04	86.854
85.5	86.752
85.91	86.818
80.98	86.864
85.01	86.962
82.76	86.626
84.75	86.584
86.02	86.644
84.77	87.062
84.67	87.034
84.98	86.812
84.97	86.782
84.43	87.168
83.04	86.968
83.69	86.732
85.71	86.998
85.8	86.84
85.42	87.17
83.31	87.066
85.61	87.056
86.12	86.99
83.36	86.704
83.96	87.224
85.93	86.928
85.87	87.476
83.15	87.37
85.72	87.084
86.35	87.138
85.71	87.412
84.6	87.172
85.2	87.034
85.87	87.176
84.6	87.152
84.16	86.824
84.55	87.246
85.7	87.124
86.51	87.368
83.6	87.08
82.27	87.32
84.27	87.288
85.73	87.544
85.9	87.414
83.95	87.272
84.98	87.15
83.32	87.328
84.05	87.27
84.71	87.14
82.68	87.078
83.21	87.288
85.87	87.244
85.98	87.3
85.26	87.454
83.48	87.316
84.25	87.43
84.12	87.572
85.58	87.456
85.32	87.574
86.49	87.512
82.83	87.688
85.97	87.36
85.44	87.67
83.91	87.144
85.02	87.478
86.63	87.65
84.66	87.45
85.93	87.384
81.34	87.544
85.37	87.342
86.95	87.204
85.65	87.27
83.41	87.3
85.9	87.28
85.78	87.562
84.98	87.704
86.03	87.548
85.55	87.566
84.22	87.406
84.98	87.918
85.02	87.562
84.84	87.82
86.64	87.572
84.6	87.516
85.29	87.532
86.88	87.344
86.31	87.684
84.74	87.412
86.16	87.908
83.62	87.374
84.98	87.26
85.94	87.646
84.27	87.3
84.76	87.644
84.44	87.72
86.28	87.464
83.2	87.856
86.08	87.568
86.1	87.78
84.86	87.438
85.24	87.75
84.85	87.664
85.81	87.712
83.59	87.842
85.88	87.44
85.7	87.478
85.53	87.856
85.95	87.506
86.35	87.426
86.42	87.412
82.66	87.444
84.89	87.744
86.52	87.306
85.22	87.186
86.43	87.674
86.44	87.906
86.9	87.63
85.05	87.76
85.96	87.244
85.3	87.454
86.32	87.842
83.57	87.636
86.3	87.396
81.6	87.64
85.93	87.572
85.77	87.612
82.83	87.744
82.31	87.91
85.89	87.424
85.66	87.468
86.74	87.612
85.49	87.824
82.91	87.666
85.82	87.522
85.43	87.652
86.49	87.488
85.67	87.782
84.64	87.708
81.65	87.398
84.08	87.974
83.76	87.592
85.79	87.504
85.52	87.798
85.3	87.342
85.65	88.004
