	test_acc	train_acc
0	92.99	94.748
1	93.39	96.222
2	93.52	96.922
3	93.65	97.296
4	93.88	97.604
5	93.68	97.938
6	93.84	98.046
7	93.58	98.24
8	93.65	98.514
9	93.88	98.59
10	93.81	98.752
11	93.75	98.786
12	93.84	98.84
13	93.87	98.834
14	93.89	98.974
15	93.64	98.804
16	93.62	98.96
17	93.42	99.144
18	93.81	99.15
19	93.73	99.024
20	93.29	98.888
21	93.32	98.842
22	93.31	98.972
23	93.99	98.802
24	93.53	98.952
25	93.39	98.9
26	92.98	98.922
27	92.95	98.864
28	93.42	98.8
29	93.11	98.998
30	93.07	98.668
31	93.55	98.768
32	93.12	98.738
33	93.03	98.756
34	92.84	98.726
35	92.7	98.704
36	92.91	98.548
37	92.31	98.672
38	93.25	98.638
39	93.28	98.584
40	92.57	98.596
41	93.04	98.518
42	93.04	98.434
43	92.88	98.486
44	92.48	98.692
45	92.25	98.362
46	92.02	98.41
47	92.74	98.362
48	92.22	98.54
49	92.18	98.562
50	92.74	98.47
51	92.5	98.392
52	92.9	98.472
53	92.6	98.466
54	92.49	98.398
55	92.86	98.514
56	92.51	98.292
57	92.63	98.48
58	92.68	98.436
59	92.88	98.322
60	92.39	98.262
61	92.38	98.506
62	91.65	98.474
63	91.98	98.42
64	92.41	98.42
65	92.25	98.424
66	92.69	98.484
67	92.46	98.364
68	91.98	98.22
69	91.44	98.616
70	92.52	98.576
71	92.39	98.556
72	92.24	98.538
73	91.74	98.48
74	92.34	98.522
75	91.97	98.476
76	92.29	98.496
77	92.02	98.442
78	92.65	98.408
79	92.69	98.43
80	91.51	98.622
81	91.18	98.32
82	92.91	98.464
83	91.76	98.478
84	92.43	98.452
85	92.07	98.686
86	92.38	98.656
87	91.9	98.438
88	92.8	98.572
89	91.96	98.48
90	92.52	98.438
91	92.97	98.612
92	92.13	98.444
93	90.51	98.608
94	92.13	98.554
95	92.4	98.636
96	92.68	98.56
97	90.51	98.52
98	91.85	98.404
99	92.21	98.506
100	92.78	98.728
101	92.79	98.652
102	92.02	98.572
103	92.17	98.506
104	92.79	98.556
105	92.15	98.612
106	92.29	98.492
107	92.13	98.53
108	91.77	98.482
109	92.02	98.542
110	92.57	98.388
111	92.38	98.608
112	92.27	98.656
113	92.06	98.664
114	91.94	98.566
115	91.29	98.61
116	92.69	98.516
117	91.95	98.57
118	92.3	98.638
119	92.06	98.694
120	92.39	98.548
121	92.92	98.556
122	92.38	98.456
123	92.5	98.674
124	92.43	98.796
125	91.44	98.6
126	92.06	98.46
127	92.19	98.532
128	92.36	98.63
129	92.68	98.738
130	92.55	98.68
131	92.2	98.566
132	92.41	98.492
133	92.63	98.576
134	92.55	98.562
135	90.91	98.52
136	91.19	98.522
137	93.15	98.584
138	92.53	98.598
139	92.81	98.77
140	91.98	98.712
141	91.71	98.504
142	93.28	98.53
143	92.38	98.652
144	92.7	98.518
145	91.72	98.794
146	92.6	98.57
147	93.16	98.658
148	92.63	98.542
149	92.46	98.574
150	92.18	98.468
151	92.19	98.764
152	91.82	98.608
153	93.07	98.632
154	92.85	98.614
155	92.74	98.666
156	91.9	98.63
157	92.92	98.67
158	92.55	98.676
159	92.34	98.83
160	92.02	98.318
161	92.85	98.662
162	91.71	98.792
163	90.93	98.604
164	92.34	98.682
165	92.99	98.458
166	91.34	98.588
167	92.59	98.614
168	92.63	98.73
169	92.21	98.69
170	91.31	98.662
171	91.45	98.58
172	92.89	98.612
173	92.77	98.682
174	92.54	98.666
175	92.4	98.678
176	93.02	98.556
177	91.74	98.62
178	92.63	98.63
179	92.09	98.784
180	93.07	98.538
181	91.73	98.758
182	93.0	98.608
183	92.62	98.638
184	92.54	98.56
185	91.83	98.634
186	92.6	98.71
187	92.94	98.888
188	93.13	98.734
189	92.18	98.62
190	92.81	98.786
191	91.17	98.556
192	91.91	98.574
193	92.47	98.528
194	91.26	98.596
195	92.47	98.562
196	92.46	98.53
197	92.73	98.74
198	92.15	98.842
199	92.72	98.558
