test_acc	train_acc
29.88	21.036
30.45	30.808
41.65	37.738
45.07	42.672
51.15	47.528
48.64	50.976
56.27	54.594
59.13	58.492
64.17	61.672
57.19	64.492
66.13	66.928
67.31	69.1
67.96	71.004
69.36	72.41
68.41	74.338
75.29	75.836
76.68	76.93
73.56	78.202
78.48	79.468
79.69	80.792
78.92	81.726
80.07	82.658
76.96	83.652
81.54	84.53
82.69	85.35
82.94	86.19
82.4	86.818
83.49	87.282
84.23	88.066
81.32	88.726
83.22	89.128
82.92	89.64
83.41	90.102
85.96	90.67
85.94	91.116
84.75	91.408
85.98	92.004
84.71	92.12
85.32	92.678
80.77	92.952
85.11	93.24
86.58	93.506
86.08	93.884
85.82	94.45
87.34	94.482
84.18	94.884
86.58	94.846
85.67	95.088
86.92	95.236
87.85	95.602
86.71	95.908
87.26	95.734
87.32	96.078
87.11	96.298
87.38	96.532
86.73	96.52
87.01	96.816
87.57	96.964
88.07	96.976
87.01	97.048
88.34	97.14
87.69	97.298
88.07	97.504
86.72	97.56
88.12	97.64
87.31	97.824
87.57	97.64
87.99	97.888
87.63	97.754
88.13	97.988
87.66	98.142
87.88	98.146
87.16	98.044
87.65	98.292
87.91	98.274
87.48	98.382
87.62	98.252
88.49	98.584
88.36	98.506
86.8	98.47
88.94	98.396
87.41	98.53
87.64	98.706
87.45	98.776
87.5	98.71
87.61	98.74
88.83	98.756
89.04	98.962
88.79	98.79
88.87	98.92
87.37	98.958
88.04	98.918
88.3	98.94
88.43	99.05
88.2	99.024
89.2	99.066
89.05	99.134
88.36	99.13
88.61	98.942
88.33	99.124
88.33	98.952
88.64	99.126
88.34	99.18
88.85	99.136
88.48	99.248
89.15	99.11
89.16	99.31
88.46	99.196
88.7	99.272
88.31	99.184
88.89	99.29
89.02	99.446
89.0	99.372
89.34	99.216
88.99	99.19
87.13	99.41
88.96	99.444
89.06	99.344
89.47	99.406
88.81	99.362
89.02	99.426
88.34	99.36
87.87	99.426
89.47	99.29
88.45	99.474
89.23	99.412
87.38	99.376
89.11	99.406
89.59	99.484
88.5	99.442
88.77	99.466
89.0	99.51
88.41	99.41
89.04	99.362
88.83	99.552
89.11	99.428
89.05	99.49
89.51	99.468
88.45	99.504
89.43	99.634
89.49	99.526
89.09	99.51
89.13	99.402
87.51	99.55
89.15	99.496
88.83	99.536
88.89	99.552
88.96	99.64
89.45	99.638
89.46	99.662
89.27	99.614
88.12	99.502
88.73	99.572
89.37	99.518
89.62	99.69
89.88	99.63
89.32	99.732
88.83	99.566
89.34	99.496
89.51	99.67
88.66	99.646
89.34	99.578
88.82	99.604
89.61	99.63
89.17	99.63
89.32	99.608
89.45	99.63
89.22	99.64
88.8	99.65
89.04	99.526
89.23	99.672
89.56	99.53
88.93	99.558
88.72	99.658
88.75	99.632
89.44	99.652
89.12	99.658
88.35	99.63
89.38	99.65
89.42	99.638
89.34	99.706
90.08	99.658
89.55	99.692
89.19	99.768
89.26	99.646
89.29	99.67
89.72	99.7
89.15	99.82
89.68	99.69
89.54	99.78
89.52	99.698
88.72	99.682
88.06	99.728
89.49	99.742
89.57	99.632
89.31	99.578
89.28	99.714
89.17	99.696
89.39	99.79
90.06	99.764
