test_acc    train_acc
20.504  28.100
30.458  34.680
36.762  38.470
41.506  43.110
45.478  49.230
49.370  49.200
53.590  56.420
56.720  55.150
60.044  62.190
62.886  60.540
65.446  65.500
67.798  68.520
69.966  69.430
71.660  70.550
73.382  73.640
74.936  72.170
76.258  73.640
77.756  75.670
78.876  77.180
80.204  78.890
81.470  77.700
82.578  80.700
83.358  80.460
83.830  83.360
85.228  81.990
85.544  80.680
86.588  83.900
86.902  83.200
87.784  82.080
88.268  82.790
88.884  84.500
89.424  84.380
90.062  83.790
90.380  86.170
90.910  86.050
91.270  84.320
91.722  85.520
92.028  85.540
92.642  85.500
92.784  84.830
93.118  86.980
93.458  86.680
93.818  87.570
93.934  86.120
94.388  84.630
94.584  83.120
94.938  85.190
95.086  85.280
95.280  81.540
95.682  87.650
95.926  85.990
95.836  84.140
96.318  85.570
96.380  87.640
96.566  87.830
96.624  87.210
96.942  88.090
96.966  87.940
97.032  84.150
97.200  88.070
97.220  87.960
97.466  88.270
97.634  87.940
97.576  88.790
97.770  88.210
97.664  86.680
97.788  88.650
97.982  88.570
98.050  87.950
98.162  88.000
98.204  87.660
98.216  87.130
98.120  87.640
98.508  88.590
89.804  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
10.000  10.000
