	test_acc	train_acc
0	51.24	40.52
1	64.95	60.378
2	70.34	69.944
3	73.17	75.904
4	78.78	78.734
5	76.7	80.506
6	79.31	81.726
7	78.51	82.418
8	75.96	83.284
9	79.23	83.86
10	83.13	84.278
11	81.63	84.964
12	83.0	85.482
13	80.23	85.712
14	82.87	86.026
15	78.8	86.382
16	82.05	86.544
17	83.13	86.626
18	79.66	86.89
19	82.73	87.1
20	81.52	87.226
21	85.53	87.514
22	79.01	87.376
23	82.44	87.858
24	83.95	87.902
25	85.22	87.784
26	85.91	87.902
27	85.31	87.844
28	84.63	88.0
29	80.79	87.908
30	82.55	88.13
31	84.06	88.526
32	82.14	88.422
33	77.8	88.372
34	85.57	88.13
35	83.54	88.464
36	84.95	88.104
37	84.61	88.804
38	85.34	88.546
39	79.55	88.748
40	82.49	88.334
41	82.77	88.724
42	85.55	88.918
43	82.44	88.876
44	84.78	88.43
45	86.12	88.844
46	80.75	88.632
47	83.54	88.698
48	85.3	88.87
49	82.22	88.876
50	73.0	89.102
51	84.58	88.706
52	84.49	89.188
53	85.53	88.91
54	78.78	88.948
55	83.87	88.794
56	84.55	88.92
57	86.0	89.036
58	85.0	88.936
59	81.23	89.1
60	79.86	88.946
61	85.62	89.236
62	85.31	89.068
63	83.06	89.042
64	76.95	89.078
65	82.39	89.024
66	84.22	89.62
67	86.02	89.01
68	86.01	89.296
69	85.3	89.216
70	84.95	89.224
71	84.01	89.028
72	83.93	89.392
73	85.46	89.138
74	82.41	89.304
75	82.49	89.6
76	83.89	89.252
77	82.8	89.278
78	81.72	89.426
79	86.3	89.26
80	77.13	89.35
81	84.36	89.056
82	78.78	89.386
83	81.73	89.322
84	82.18	89.58
85	79.2	89.32
86	79.65	89.246
87	86.75	89.374
88	79.33	89.168
89	79.64	89.48
90	83.38	89.35
91	83.16	89.334
92	84.77	89.354
93	84.11	89.638
94	84.45	89.254
95	82.23	89.324
96	85.81	89.538
97	82.36	89.426
98	83.48	89.276
99	84.88	89.538
100	85.65	89.724
101	82.03	89.568
102	85.11	89.512
103	84.44	89.478
104	83.42	89.612
105	85.05	89.376
106	86.39	89.648
107	84.81	89.476
108	83.8	89.268
109	76.13	89.458
110	87.01	89.356
111	83.87	89.542
112	81.79	89.344
113	88.12	89.488
114	85.79	89.5
115	82.63	89.678
116	86.25	89.476
117	84.86	89.618
118	80.23	89.59
119	86.94	89.496
120	87.7	89.416
121	82.55	89.52
122	83.89	89.706
123	84.58	89.588
124	82.24	89.494
125	84.65	89.496
126	79.95	89.572
127	85.8	89.38
128	85.55	90.08
129	84.49	89.382
130	83.97	89.494
131	81.55	89.444
132	86.02	89.544
133	85.18	89.78
134	71.76	89.546
135	82.49	89.638
136	84.39	89.684
137	86.25	89.6
138	84.98	89.468
139	86.98	89.672
140	81.38	89.674
141	85.71	89.676
142	82.72	89.702
143	86.5	89.676
144	83.65	89.544
145	87.09	89.506
146	79.44	89.662
147	78.99	89.534
148	83.81	89.734
149	84.53	89.556
150	84.08	89.586
151	79.91	89.622
152	86.34	89.678
153	86.09	89.598
154	84.85	89.54
155	85.4	89.932
156	81.81	89.43
157	83.56	89.756
158	83.82	89.458
159	81.65	89.784
160	86.43	89.576
161	85.63	89.846
162	80.32	89.824
163	84.72	89.422
164	82.5	89.628
165	85.69	89.598
166	82.39	89.872
167	86.25	89.466
168	83.91	89.638
169	80.28	89.672
170	85.98	89.66
171	85.74	89.508
172	80.4	89.656
173	84.08	89.46
174	86.59	89.51
175	81.91	89.612
176	86.72	89.794
177	87.11	89.502
178	80.17	89.738
179	85.57	89.786
180	81.77	89.414
181	79.88	89.794
182	82.84	89.696
183	82.33	89.574
184	85.12	89.604
185	82.35	89.698
186	84.69	89.656
187	84.87	89.662
188	84.41	89.424
189	85.56	89.918
190	81.36	89.848
191	82.78	89.56
192	81.03	89.712
193	80.84	89.698
194	85.82	89.914
195	84.58	89.51
196	84.85	89.626
197	86.63	89.506
198	83.31	90.002
199	84.52	89.72
