test_acc	train_acc
15.21	15.048
22.14	21.8
32.51	27.942
34.16	33.182
39.37	38.592
45.97	52.456
60.26	58.024
61.33	60.986
65.17	63.638
63.62	67.172
71.17	69.214
63.72	71.426
70.25	72.818
69.05	73.898
66.76	75.526
76.57	76.882
68.89	77.57
75.07	78.676
76.21	79.632
79.21	79.978
79.9	80.78
78.65	81.57
79.11	81.824
78.76	82.17
80.33	83.084
78.76	83.34
80.04	84.068
80.1	84.654
78.05	84.794
82.75	85.242
79.5	85.826
81.34	86.054
83.23	86.44
83.35	86.728
83.53	86.886
84.09	87.354
84.48	87.928
82.81	87.766
84.63	88.044
83.86	88.678
83.2	88.614
83.06	88.836
83.39	88.888
85.54	89.644
84.06	89.716
84.64	90.052
83.34	89.942
85.57	90.364
85.51	90.308
85.7	90.706
85.69	90.728
84.63	90.614
84.31	90.932
86.29	91.288
85.01	91.442
82.61	91.838
85.47	91.666
85.35	91.646
86.45	91.964
85.78	92.116
85.85	91.896
85.16	92.43
85.25	92.626
86.35	92.45
85.88	92.776
86.4	92.738
85.62	92.978
86.55	92.81
86.51	93.176
85.06	92.982
86.6	93.098
84.69	92.974
86.68	93.726
86.47	93.252
87.1	93.7
85.76	93.656
84.39	93.87
85.35	93.464
87.23	94.094
85.14	94.484
85.91	94.274
85.85	94.084
86.39	94.048
86.33	93.896
86.67	94.658
86.01	94.574
87.52	94.576
86.42	94.478
86.74	94.46
87.85	94.452
86.57	95.078
87.38	94.814
87.31	95.16
86.73	95.048
86.73	94.922
86.92	94.96
85.51	94.668
87.56	95.512
86.96	95.66
87.05	94.676
87.42	95.71
87.47	95.088
86.51	95.268
87.15	95.526
87.07	95.504
88.13	95.868
87.52	95.574
86.97	95.684
88.21	95.594
85.63	95.392
87.49	95.764
87.45	95.87
86.16	95.976
86.79	95.704
87.79	96.026
87.5	95.976
87.9	96.284
86.88	95.82
87.17	95.878
87.73	96.184
88.3	96.078
87.88	96.252
87.44	96.55
87.86	95.836
86.72	96.444
87.61	96.454
86.37	96.534
88.31	96.334
87.31	96.518
88.29	96.468
87.66	96.438
87.66	96.682
87.57	96.704
87.41	96.268
87.73	96.42
86.85	96.622
87.79	96.768
86.93	97.072
87.38	96.512
88.32	96.96
86.24	97.104
88.09	96.714
88.14	96.506
88.06	96.402
87.73	96.89
88.42	97.044
88.17	96.834
88.02	97.01
87.43	97.126
87.68	97.124
87.93	97.124
88.54	97.01
88.23	97.202
88.2	96.692
87.47	97.194
87.0	96.704
87.16	97.116
88.07	97.184
88.89	97.128
88.75	97.446
87.98	97.474
85.71	96.964
88.23	97.05
88.49	97.328
88.5	97.27
88.73	97.092
88.39	97.66
87.89	97.094
87.64	97.672
88.04	97.582
88.14	97.532
88.11	97.118
87.67	97.416
88.19	97.37
88.32	97.75
88.61	97.706
88.56	97.482
88.16	97.352
88.05	97.41
88.12	97.68
88.07	97.9
87.63	97.496
87.19	97.718
88.47	97.24
88.36	97.792
87.86	97.692
88.07	97.56
88.2	97.796
87.84	97.804
88.53	97.61
88.48	97.374
88.11	97.952
87.95	98.092
88.13	97.486
87.81	97.462
88.19	97.798
88.39	97.928
88.49	97.79
88.63	97.556
87.83	97.956
