test_acc	train_acc
10.0	9.996
10.0	9.996
10.0	10.068
10.0	9.694
10.0	9.81
10.0	9.984
10.0	9.886
10.0	10.166
10.0	9.952
10.0	10.072
10.0	9.98
10.0	10.022
10.0	10.11
10.0	10.094
10.0	9.826
10.0	10.024
10.0	10.228
10.0	10.138
10.0	9.942
10.0	9.956
10.0	9.906
10.0	9.972
10.0	10.118
10.0	9.998
10.0	9.998
10.0	10.038
10.0	9.782
10.0	9.716
10.0	9.932
10.0	9.912
10.0	9.988
10.0	9.978
10.0	9.84
10.0	9.962
10.0	9.938
10.0	10.002
10.0	10.01
10.0	10.14
10.0	9.99
10.0	9.666
10.0	9.88
10.0	10.048
10.0	10.058
10.0	10.01
10.0	9.906
10.0	10.014
10.0	9.9
10.0	9.928
10.0	9.946
10.0	9.912
10.0	10.05
10.0	9.774
10.0	10.218
10.0	9.834
10.0	9.876
10.0	10.044
10.0	9.902
10.0	9.888
10.0	9.976
10.0	9.882
10.0	9.886
10.0	9.926
10.0	9.956
10.0	9.876
10.0	9.926
10.0	9.854
10.0	10.096
10.0	10.172
10.0	9.834
10.0	9.758
10.0	9.988
10.0	9.928
10.0	10.05
10.0	10.056
10.0	9.78
10.0	9.988
10.0	9.87
10.0	9.922
10.0	9.914
10.0	10.058
10.0	10.03
10.0	9.878
10.0	10.092
10.0	10.212
10.0	10.154
10.0	10.048
10.0	9.976
10.0	9.956
10.0	10.06
10.0	9.99
10.0	10.01
10.0	10.076
10.0	10.15
10.0	9.94
10.0	9.808
10.0	10.092
10.0	10.006
10.0	9.976
10.0	9.894
10.0	10.064
10.0	9.738
10.0	9.978
10.0	10.11
10.0	10.026
10.0	9.988
10.0	9.89
10.0	10.07
10.0	10.082
10.0	9.896
10.0	9.914
10.0	9.814
10.0	10.094
10.0	9.96
10.0	9.892
10.0	10.08
10.0	9.976
10.0	9.808
10.0	10.134
10.0	9.828
10.0	9.994
10.0	9.872
10.0	10.14
10.0	10.048
10.0	9.98
10.0	9.994
10.0	10.178
10.0	9.96
10.0	9.854
10.0	10.018
10.0	9.968
10.0	9.942
10.0	9.936
10.0	10.01
10.0	10.044
10.0	10.078
10.0	9.988
10.0	9.99
10.0	9.886
10.0	10.192
10.0	10.084
10.0	9.878
10.0	10.074
10.0	9.958
10.0	10.156
10.0	9.942
10.0	9.87
10.0	10.036
10.0	9.962
10.0	9.968
10.0	10.04
10.0	9.886
10.0	9.626
10.0	10.084
10.0	9.79
10.0	9.986
10.0	9.82
10.0	9.816
10.0	9.946
10.0	10.02
10.0	9.996
10.0	9.794
10.0	10.154
10.0	10.126
10.0	9.846
10.0	10.016
10.0	10.05
10.0	10.28
10.0	9.886
10.0	9.824
10.0	10.022
10.0	10.094
10.0	9.802
10.0	9.9
10.0	9.91
10.0	9.682
10.0	9.918
10.0	10.056
10.0	10.042
10.0	10.026
10.0	10.014
10.0	9.924
10.0	9.916
10.0	10.202
10.0	10.026
10.0	9.854
10.0	10.052
10.0	9.816
10.0	9.94
10.0	9.98
10.0	9.932
10.0	9.798
10.0	10.048
10.0	9.746
10.0	10.086
10.0	10.09
10.0	9.988
10.0	10.314
10.0	10.118
10.0	10.148
10.0	9.868
