test_acc	train_acc
37.96	32.364
53.83	54.42
64.24	66.538
68.56	73.21
73.28	77.136
70.17	79.73
75.95	81.392
81.71	83.24
80.71	84.662
82.33	85.544
84.06	86.718
80.48	87.402
85.51	88.198
83.15	88.894
83.72	89.766
84.75	90.196
85.43	90.7
86.18	91.252
85.3	91.668
86.09	92.036
83.58	92.546
83.38	92.986
88.37	93.176
87.38	93.698
84.19	93.992
86.57	94.092
87.1	94.494
88.51	94.662
82.5	94.924
88.18	95.04
89.28	95.612
88.26	95.698
88.51	95.822
88.13	96.066
87.79	96.212
89.33	96.448
89.91	96.54
89.13	96.758
89.0	96.738
86.61	97.014
89.42	97.074
89.61	97.248
89.14	97.49
89.45	97.39
90.17	97.562
89.79	97.508
89.92	97.672
89.92	97.934
89.15	97.952
90.05	98.05
89.93	98.118
88.98	98.016
89.75	98.272
90.13	98.304
88.61	98.36
89.76	98.426
89.65	98.562
89.77	98.44
89.75	98.658
89.87	98.542
89.95	98.53
90.08	98.692
90.05	98.612
90.6	98.772
90.61	98.802
90.32	98.818
90.2	98.808
87.93	98.842
90.26	98.802
90.24	98.97
90.57	98.838
90.3	99.108
90.46	98.932
90.68	99.04
90.28	99.09
89.58	99.008
89.57	99.24
87.96	99.148
91.16	99.118
89.29	99.186
89.83	99.212
90.29	99.17
90.83	99.184
90.5	99.374
90.85	99.272
90.76	99.394
90.77	99.272
90.31	99.216
91.02	99.292
90.53	99.362
90.39	99.33
90.83	99.384
90.63	99.388
90.58	99.396
90.49	99.402
90.85	99.414
91.0	99.282
90.93	99.466
91.19	99.434
90.59	99.408
90.8	99.434
90.67	99.458
90.75	99.352
91.0	99.518
90.53	99.436
90.48	99.446
90.89	99.502
91.5	99.534
91.13	99.494
91.32	99.53
90.76	99.434
90.95	99.458
90.9	99.488
90.76	99.61
91.33	99.572
91.4	99.57
91.03	99.532
90.25	99.504
90.71	99.6
90.15	99.484
91.35	99.566
90.86	99.568
90.47	99.588
91.12	99.636
90.97	99.652
91.3	99.632
91.07	99.602
90.55	99.562
90.96	99.562
90.44	99.672
91.22	99.684
91.28	99.664
91.08	99.61
91.44	99.584
90.66	99.618
91.25	99.596
91.23	99.646
90.84	99.628
91.15	99.718
91.45	99.658
91.51	99.664
91.46	99.704
91.28	99.738
91.71	99.662
91.3	99.634
91.31	99.71
91.17	99.728
91.59	99.678
90.88	99.73
90.8	99.652
91.2	99.792
91.21	99.702
91.26	99.78
91.26	99.678
90.87	99.682
91.31	99.72
90.35	99.674
91.72	99.724
91.42	99.652
90.94	99.724
91.61	99.75
91.49	99.808
91.02	99.746
91.73	99.738
91.8	99.824
91.88	99.838
91.48	99.744
91.54	99.774
91.44	99.778
91.61	99.772
91.62	99.75
91.28	99.748
91.24	99.754
90.89	99.77
91.0	99.756
91.1	99.772
91.45	99.718
91.37	99.792
90.88	99.8
91.47	99.822
91.14	99.712
91.27	99.772
91.27	99.762
91.55	99.802
91.41	99.776
91.59	99.834
91.13	99.836
91.55	99.758
91.65	99.796
90.82	99.868
91.11	99.814
91.34	99.856
91.74	99.866
90.77	99.826
90.99	99.784
91.58	99.82
90.85	99.782
91.47	99.802
91.58	99.83
88.99	99.842
