test_acc	train_acc
12.21	11.406
27.96	21.796
39.13	31.974
37.18	47.486
45.93	58.164
58.55	65.182
65.76	69.732
61.09	72.546
64.59	74.744
66.97	76.524
72.28	77.628
69.62	78.46
68.73	79.5
67.72	79.97
73.18	80.206
67.4	80.696
75.11	81.216
71.06	81.38
74.64	82.278
74.83	82.294
77.58	82.556
68.96	82.824
76.35	82.8
75.56	83.362
72.8	83.21
65.97	83.422
77.1	83.44
73.49	83.482
78.52	83.39
74.37	83.852
80.4	84.02
73.71	84.38
78.1	84.292
75.33	84.342
73.05	84.66
77.22	84.57
73.98	84.902
81.41	84.64
76.47	84.848
77.15	84.964
79.04	85.232
78.31	85.052
79.78	85.034
77.03	85.002
80.82	85.076
81.83	85.228
78.18	85.278
81.03	85.842
75.9	85.438
80.87	85.644
79.05	85.646
82.55	85.658
76.93	85.542
73.81	85.652
78.57	85.696
77.28	85.66
77.07	85.618
75.15	85.962
84.45	86.25
81.68	86.136
76.72	85.8
79.47	85.618
80.04	86.274
78.87	86.168
83.46	86.31
82.77	86.234
80.69	85.89
82.86	86.658
77.1	86.51
83.18	86.356
81.54	86.158
82.19	86.32
81.55	86.37
73.03	86.412
78.75	86.254
75.83	86.73
76.46	86.338
81.78	86.394
79.47	86.486
82.61	86.672
80.45	86.428
79.84	86.772
83.04	86.16
82.65	86.674
80.1	86.732
79.8	86.49
74.22	86.878
79.61	86.648
83.53	86.77
74.51	87.092
82.94	86.788
82.99	86.82
78.48	86.568
75.91	86.722
83.52	86.836
81.26	86.66
76.18	87.07
74.89	86.864
82.04	86.926
78.27	86.816
83.27	86.816
80.17	87.07
80.84	86.67
80.21	87.14
81.75	87.022
82.51	86.888
79.18	86.99
78.42	86.95
75.77	87.152
81.06	86.93
75.28	87.006
82.91	87.196
78.74	87.398
80.98	86.94
76.58	87.162
78.66	86.952
83.17	87.014
83.99	87.052
81.88	86.786
77.42	87.242
83.01	86.852
77.86	87.298
76.09	87.152
78.75	87.184
69.72	87.14
77.98	87.368
81.71	86.932
77.71	87.224
82.77	87.198
78.57	87.01
82.06	86.986
81.54	87.178
81.2	87.162
81.0	87.234
81.31	87.238
80.05	87.138
83.63	86.846
82.03	87.132
84.06	86.91
74.79	87.29
79.29	87.104
82.45	87.068
76.92	87.16
78.74	87.102
82.7	87.56
83.55	87.246
80.25	87.146
81.88	87.232
78.49	87.452
82.36	87.046
82.25	87.096
79.56	87.336
81.17	87.296
83.22	87.172
79.07	87.48
78.12	87.486
78.31	87.276
84.79	87.008
82.26	87.332
82.36	87.098
81.8	87.532
81.17	87.186
81.77	87.288
77.26	87.254
75.59	87.316
83.98	87.244
78.87	86.942
82.39	87.352
80.66	87.04
80.56	87.252
81.72	87.176
83.36	87.464
83.37	87.25
81.47	86.962
79.02	87.06
78.13	87.188
78.21	87.29
79.82	87.314
82.01	87.002
83.14	87.584
81.15	87.418
80.92	87.314
81.13	87.188
84.34	87.232
82.62	87.32
75.2	87.526
77.32	87.528
83.09	87.224
80.65	87.578
80.84	87.248
79.95	87.276
78.61	87.27
81.25	87.584
82.83	87.416
81.85	87.294
74.97	87.544
83.2	87.246
78.11	87.284
78.21	87.292
81.0	87.27
