test_acc	train_acc
10.0	10.046
10.0	10.13
10.0	9.95
10.0	9.956
10.0	9.808
10.0	9.816
10.0	10.04
10.0	10.022
10.0	9.988
10.0	9.948
10.0	9.936
10.0	9.82
10.0	9.972
10.0	9.724
10.0	9.928
10.0	10.078
10.0	9.926
10.0	9.896
10.0	9.982
10.0	9.998
10.0	9.77
10.0	9.552
10.0	10.17
10.0	9.686
10.0	10.014
10.0	9.646
10.0	9.772
10.0	10.028
10.0	9.92
10.0	10.072
10.0	9.96
10.0	10.018
10.0	10.074
10.0	9.836
10.0	9.962
10.0	10.076
10.0	10.136
10.0	10.04
10.0	9.852
10.0	9.748
10.0	9.944
10.0	10.002
10.0	10.176
10.0	9.72
10.0	10.0
10.0	10.05
10.0	10.088
10.0	10.118
10.0	9.74
10.0	10.078
10.0	9.928
10.0	10.07
10.0	10.102
10.0	9.944
10.0	10.058
10.0	10.232
10.0	9.862
10.0	10.134
10.0	10.006
10.0	9.888
10.0	9.936
10.0	9.9
10.0	9.778
10.0	9.83
10.0	9.992
10.0	9.922
10.0	9.866
10.0	9.958
10.0	10.042
10.0	9.948
10.0	10.09
10.0	10.032
10.0	9.942
10.0	10.0
10.0	9.712
10.0	9.664
10.0	10.024
10.0	9.832
10.0	9.924
10.0	10.03
10.0	9.846
10.0	10.154
10.0	9.986
10.0	9.764
10.0	10.004
10.0	9.952
10.0	9.916
10.0	9.904
10.0	9.906
10.0	10.066
10.0	9.854
10.0	9.81
10.0	9.942
10.0	9.68
10.0	9.75
10.0	9.604
10.0	10.064
10.0	9.852
10.0	9.868
10.0	9.822
10.0	9.964
10.0	10.066
10.0	9.812
10.0	9.83
10.0	9.84
10.0	10.108
10.0	9.966
10.0	9.936
10.0	10.044
10.0	10.128
10.0	9.588
10.0	10.112
10.0	10.062
10.0	9.688
10.0	9.802
10.0	9.924
10.0	10.076
10.0	9.88
10.0	9.956
10.0	9.714
10.0	9.762
10.0	9.926
10.0	9.974
10.0	10.146
10.0	9.818
10.0	9.998
10.0	9.9
10.0	9.896
10.0	9.884
10.0	10.11
10.0	10.172
10.0	9.888
10.0	9.924
10.0	9.968
10.0	9.856
10.0	10.052
10.0	9.94
10.0	9.986
10.0	10.158
10.0	9.962
10.0	10.006
10.0	9.618
10.0	9.68
10.0	9.894
10.0	10.006
10.0	10.058
10.0	10.158
10.0	10.102
10.0	10.024
10.0	9.96
10.0	9.954
10.0	9.736
10.0	9.966
10.0	9.924
10.0	9.876
10.0	10.018
10.0	9.872
10.0	10.162
10.0	9.96
10.0	10.09
10.0	9.84
10.0	9.988
10.0	10.07
10.0	10.01
10.0	10.122
10.0	9.77
10.0	10.21
10.0	10.038
10.0	9.864
10.0	9.802
10.0	9.972
10.0	10.348
10.0	9.894
10.0	9.9
10.0	9.904
10.0	9.922
10.0	10.008
10.0	9.916
10.0	10.036
10.0	9.94
10.0	9.746
10.0	9.92
10.0	9.886
10.0	9.854
10.0	10.126
10.0	9.84
10.0	10.218
10.0	10.016
10.0	9.824
10.0	9.934
10.0	9.94
10.0	9.872
10.0	9.93
10.0	9.954
10.0	9.806
10.0	10.114
10.0	9.748
10.0	9.958
10.0	9.806
10.0	10.226
