test_acc	train_acc
91.6	93.27
92.27	95.054
92.53	95.866
92.45	96.208
92.6	96.752
92.62	96.888
92.56	97.146
92.55	97.272
92.56	97.592
92.54	97.69
92.62	97.872
92.31	97.926
92.08	97.91
92.15	98.044
92.35	98.186
91.79	98.212
92.31	98.206
92.01	98.278
92.5	98.232
92.32	98.18
92.16	98.22
91.92	98.256
91.85	98.252
92.03	98.112
92.17	98.284
92.06	98.16
91.84	98.12
91.9	98.234
91.74	98.068
91.85	98.134
91.71	97.972
91.08	98.044
91.42	97.97
91.24	98.03
91.53	97.986
91.59	98.068
91.56	98.14
90.21	98.06
91.42	97.946
91.3	97.768
90.89	97.938
90.38	97.768
90.89	97.908
90.38	97.77
89.53	97.866
90.69	97.916
90.26	97.778
90.79	97.918
90.92	97.92
90.96	97.844
91.38	97.816
91.63	97.904
91.42	97.94
89.77	97.724
90.26	97.864
90.68	97.764
90.45	97.852
90.42	98.024
90.23	97.76
90.31	97.9
91.12	97.976
90.5	97.76
90.36	97.924
90.15	97.762
90.7	97.98
91.54	97.898
91.08	97.924
90.93	97.95
91.15	97.908
91.4	97.98
89.74	97.962
90.96	97.898
90.69	98.098
91.55	97.828
90.28	97.918
90.82	97.712
91.13	98.082
90.04	97.888
91.4	98.032
89.29	97.954
90.75	97.802
90.37	97.98
90.48	97.83
90.48	98.04
90.93	97.976
90.87	97.926
90.66	98.052
89.75	97.954
89.21	97.956
91.0	98.044
89.85	97.986
90.75	98.012
91.63	98.048
90.38	98.054
90.15	97.908
90.69	97.872
90.88	98.092
90.6	97.816
90.14	98.156
90.52	98.112
90.69	97.99
90.24	98.082
90.69	97.994
91.67	98.032
90.87	97.976
90.85	97.988
90.89	98.088
90.77	98.176
90.91	98.038
91.38	98.086
90.77	97.962
90.87	97.982
90.87	98.082
90.26	98.076
90.19	97.944
91.37	98.084
90.97	97.978
90.04	98.19
91.25	98.06
91.6	98.156
91.07	98.056
90.89	98.042
91.03	97.99
91.6	98.162
90.96	98.128
90.87	98.104
90.73	98.008
91.0	98.048
90.42	98.228
91.03	98.078
90.16	97.974
88.94	98.01
90.86	98.09
91.66	97.98
91.32	98.132
91.02	98.084
90.4	97.978
89.64	98.09
90.14	97.872
91.11	98.196
90.64	98.192
91.35	98.094
91.11	97.962
89.98	98.124
90.8	98.004
90.95	98.062
90.05	98.2
90.61	98.144
91.39	97.898
90.73	98.222
90.74	98.15
90.68	98.172
90.97	98.21
90.69	98.202
91.22	98.244
90.9	97.972
88.72	98.132
91.32	98.238
90.38	98.154
90.86	97.99
90.75	98.224
90.95	98.07
90.52	98.15
90.66	97.992
90.87	98.238
90.52	98.114
90.4	98.016
90.89	98.168
91.58	98.134
90.76	98.17
90.93	98.108
91.53	97.956
91.05	98.23
90.26	98.226
89.96	97.996
89.7	98.146
90.09	98.198
90.82	98.06
91.22	98.312
90.7	98.13
90.08	98.218
90.06	98.112
89.56	98.144
91.18	98.066
91.26	98.228
92.0	98.192
90.68	98.252
90.87	98.102
90.78	98.246
90.31	98.332
90.18	98.096
91.07	98.17
90.88	98.148
90.44	98.15
91.26	98.118
91.51	98.27
90.69	98.022
90.79	98.164
91.07	98.24
90.34	98.112
