test_acc	train_acc
10.0	9.862
10.0	9.828
10.0	9.806
10.0	9.792
10.0	9.8
10.0	10.032
10.0	9.824
10.0	9.902
10.0	9.758
10.0	9.866
10.0	10.07
10.0	9.812
10.0	10.028
10.0	10.054
10.0	9.682
10.0	9.848
10.0	9.83
10.0	9.896
10.0	9.95
10.0	9.818
10.0	9.898
10.0	10.004
10.0	9.89
10.0	9.908
10.0	10.038
10.0	10.118
10.0	9.972
10.0	9.988
10.0	9.776
10.0	9.824
10.0	9.94
10.0	9.942
10.0	9.764
10.0	9.824
10.0	9.63
10.0	9.892
10.0	9.858
10.0	9.85
10.0	9.874
10.0	9.944
10.0	9.988
10.0	9.878
10.0	9.714
10.0	9.93
10.0	9.586
10.0	9.976
10.0	9.95
10.0	9.894
10.0	9.98
10.0	9.72
10.0	10.01
10.0	9.902
10.0	9.832
10.0	9.822
10.0	10.014
10.0	9.974
10.0	9.91
10.0	9.986
10.0	9.702
10.0	9.984
10.0	9.894
10.0	9.842
10.0	9.748
10.0	9.682
10.0	9.608
10.0	9.996
10.0	9.96
10.0	9.822
10.0	9.538
10.0	10.044
10.0	9.864
10.0	9.878
10.0	9.876
10.0	9.852
10.0	9.834
10.0	10.038
10.0	10.07
10.0	9.952
10.0	9.842
10.0	9.948
10.0	9.752
10.0	9.99
10.0	9.842
10.0	9.654
10.0	9.632
10.0	9.896
10.0	10.048
10.0	9.878
10.0	9.87
10.0	9.978
10.0	9.926
10.0	9.918
10.0	9.736
10.0	9.812
10.0	9.86
10.0	9.984
10.0	9.96
10.0	9.836
10.0	10.072
10.0	9.774
10.0	9.922
10.0	9.728
10.0	9.946
10.0	9.814
10.0	9.92
10.0	9.88
10.0	9.838
10.0	9.81
10.0	9.766
10.0	9.776
10.0	9.824
10.0	9.918
10.0	9.726
10.0	9.94
10.0	9.956
10.0	9.73
10.0	9.644
10.0	9.828
10.0	9.756
10.0	9.902
10.0	9.852
10.0	9.882
10.0	9.906
10.0	9.83
10.0	9.842
10.0	10.052
10.0	9.996
10.0	10.0
10.0	9.822
10.0	9.984
10.0	9.998
10.0	9.716
10.0	9.436
10.0	9.846
10.0	9.898
10.0	9.7
10.0	9.902
10.0	9.886
10.0	9.854
10.0	9.936
10.0	9.714
10.0	9.954
10.0	9.744
10.0	9.744
10.0	9.772
10.0	9.782
10.0	10.154
10.0	9.786
10.0	9.84
10.0	9.734
10.0	9.844
10.0	9.738
10.0	10.006
10.0	9.998
10.0	9.756
10.0	10.016
10.0	9.984
10.0	9.592
10.0	9.93
10.0	9.878
10.0	9.818
10.0	9.68
10.0	9.956
10.0	9.892
10.0	9.886
10.0	9.708
10.0	9.928
10.0	9.874
10.0	9.61
10.0	9.836
10.0	9.948
10.0	10.104
10.0	9.956
10.0	9.63
10.0	9.826
10.0	9.626
10.0	9.958
10.0	9.712
10.0	9.988
10.0	9.914
10.0	9.836
10.0	9.902
10.0	9.716
10.0	9.878
10.0	9.796
10.0	9.9
10.0	9.626
10.0	9.984
10.0	9.87
10.0	9.926
10.0	9.782
10.0	9.782
10.0	9.91
10.0	9.94
10.0	9.936
10.0	9.908
10.0	9.882
10.0	9.766
10.0	9.896
10.0	9.672
